source_row,source_column,source_section,course_name,teacher,tags,rating,difficulty,comment,term_year,term_month,source_key
5,C,Art,#mysocialmediapresence,,['GE'],3,3,"问题：给分怎么样
作业都是拍视频吗？小组作业多吗？",,,515547e9986b2dbc3375303e
5,D,Art,#mysocialmediapresence,,['GE'],3,3,"问题：给分怎么样
作业要发布在哪个社交平台？",,,bcc6d11963a52ca73f2ba4c7
5,E,Art,#mysocialmediapresence,,['GE'],3,3,"问题：给分怎么样
要运营社交媒体 拍照拍影片写稿 得看自己是不是真的有兴趣",,,9816e5c70d266ab97d35616e
5,F,Art,#mysocialmediapresence,,['GE'],3,3,"问题：给分怎么样
系里的教授，人超好，很负责，但是课程内容如何就不清楚了",,,352ec9d03049d148e34e347c
5,G,Art,#mysocialmediapresence,,['GE'],3,3,"问题：给分怎么样
课堂轻松，课堂上三四个人组小组完成任务，作业大概是社媒发帖和做个人网站",,,0327db5021847cc4bbe4e10a
6,C,Art,Acting and Appreciation of Theatre,,['GE'],3,3,"问题：给分情况怎么样
DrColin人非常非常非常好",,,5c07b47e05bf48d681c343df
6,D,Art,Acting and Appreciation of Theatre,,['GE'],3,3,"问题：给分情况怎么样
非常好玩的课 上课就是做游戏 演话剧 跟着跳舞 瑜伽",,,7ec55a02bd1b5a469afa9df8
6,E,Art,Acting and Appreciation of Theatre,,['GE'],3,3,"问题：给分情况怎么样
给分不稳定，得组队组好一点",,,59dd29df6c4b72f280eb4968
7,C,Art,Art and Science,,['GE'],3,3,"问题：有final exam吗(有人能大概讲讲内容吗
老师给分偏主观，有3.7的，但还是3.3的多",,,9ce0e97acf896ad7df582ad9
7,D,Art,Art and Science,,['GE'],3,3,"问题：有final exam吗(有人能大概讲讲内容吗
Art and Science 这个科目大多数3.3 首推prof wang的",,,a733bf841d1a2cf42758c4d1
7,E,Art,Art and Science,,['GE'],3,3,"问题：有final exam吗(有人能大概讲讲内容吗
很好拿分，虽然有期末asm还有个小测验还有pre，但是得分高。课程也简单",,,63dea2e9637eaa770d683288
7,F,Art,Art and Science,,['GE'],3,3,"问题：有final exam吗(有人能大概讲讲内容吗
没有期末考 final paper是一篇论文",,,cc9886cd0b52b0a08009efd2
8,D,Art,Art Appreciation,,['GE'],3,3,"问题：这节课难度如何，老师给分怎么样
比较简单 给分还行 建议有绘画基础的上 有两个individual作业 一个小组作业 第二个作业要用点线面画一幅a3的画 小组作业要有创意 去年小学期是视频pre 老师人还行",,,8ec63b8c31ffdbefe5395178
9,C,Art,Art Is Therapy,,['GE'],3,3,"问题：这门课在干啥给分怎么样？ Rebecca和Clara哪个老师比较好？ assignment是小组还是个人
神中神课程，上课纯放歌/戴耳机画画，给分还行吧。",,,ff820d74858d4171476fd35c
9,D,Art,Art Is Therapy,,['GE'],3,3,"问题：这门课在干啥给分怎么样？ Rebecca和Clara哪个老师比较好？ assignment是小组还是个人
这个课就是每节课都在画画，作业就是根据你画的画写30个词以内的解释，和其他纯学知识的GE都不一样",,,c38694a89b438e0680214f29
9,E,Art,Art Is Therapy,,['GE'],3,3,"问题：这门课在干啥给分怎么样？ Rebecca和Clara哪个老师比较好？ assignment是小组还是个人
选了Clara，assignment大部分小组形式，记个人成绩，最后有一个个人把所有画的画整合加感想的作业",,,55161f6e861a5a47899a28c4
